match,team1,team2,season,date,series,match_number,venue,player_of_match,winner,over,team,runs,runs_total
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,20,England,47,153
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,5,South Africa,51,51
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,10,South Africa,36,87
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,15,South Africa,39,126
1031435 - England vs South Africa,England,South Africa,2017,2017-06-25,South Africa in England T20I Series,3,Sophia Gardens,DJ Malan,England,20,South Africa,31,157
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,5,India,41,41
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,10,India,46,87
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,15,India,30,117
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,20,India,44,161
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,5,England,28,28
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,10,England,37,65
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,15,England,30,95
1034825 - India vs England,India,England,2016/17,2017-01-26,England in India T20I Series,1,Green Park,MM Ali,England,20,England,41,136
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,5,India,36,36
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,10,India,29,65
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,15,India,36,101
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,20,India,39,140
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,5,England,35,35
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,10,England,39,74
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,15,England,39,113
1034827 - India vs England,India,England,2016/17,2017-01-29,England in India T20I Series,2,"""Vidarbha Cricket Association Stadium",JJ Bumrah,India,20,England,54,167
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,5,India,70,70
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,10,India,44,114
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,15,India,42,156
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,20,India,37,193
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,5,England,4,4
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,10,England,27,31
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,15,England,58,89
1034829 - India vs England,India,England,2016/17,2017-02-01,England in India T20I Series,3,M Chinnaswamy Stadium,YS Chahal,India,20,England,29,118
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,5,Ireland,51,51
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,10,Ireland,51,102
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,15,Ireland,42,144
1040485 - Afghanistan vs Ireland,Afghanistan,Ireland,2016/17,2017-03-08,Afghanistan v Ireland T20I Series,1,Greater Noida Sports Complex Ground,Samiullah Shenwari,Afghanistan,20,Ireland,39,183
